"Nombre","SKU","Código","Categoría","Marca","Costo","Precio Venta","Stock"
"Malla JR-25513 - L","0238-3","","Mallas","Mouk","15000.00","26250.00","1"
"Malla JR-25513 - XL","0238-4","","Mallas","Mouk","15000.00","26250.00","1"
"Mini bordada Danielle - M","0181-1","","Minifaldas","LSK","18900.00","33075.00","1"
"Mini Queen Dinasty Lentejuelas y Tull - M","0171-1","","Minifaldas","Arizona","37490.00","65607.50","0"
"Mini Turquie Jean - S","0193-1","","Minifaldas","LSK","19900.00","34825.00","1"
"Muscu Leyla Sublimado","0064","","Musculosas","Clostudio","13000.00","22750.00","1"
"Musculosa ADANA tull - S","0140-1","","Musculosas","Rumba","5000.00","8750.00","2"
"Musculosa ADANA tull - M","0140-2","","Musculosas","Rumba","5000.00","8750.00","0"
"Musculosa AQUILES bordada - S","0142-1","","Musculosas","Rumba","8480.00","14840.00","1"
"Musculosa Beauty Black Lentejuelas - S","0173-1","","Musculosas","Arizona","27551.00","48214.25","1"
"Musculosa Beauty Cream Lentejuelas - S","0174-1","","Musculosas","Arizona","27551.00","48214.25","1"
"Musculosa de morley rock","0007","","Musculosas","The Maker","6500.00","11375.00","1"
"Musculosa dorado piedras - S","0005-1","","Musculosas","The Maker","20000.00","35000.00","1"
"Musculosa DORMOUNT c canutillo - M","0135-1","","Musculosas","Rumba","30000.00","52500.00","1"
"Musculosa Gigi Vintage - Gris","0065-1","","Musculosas","Clostudio","7500.00","13125.00","1"
"Musculosa Gigi Vintage - Marron","0065-2","","Musculosas","Clostudio","7500.00","13125.00","1"
"Musculosa HYMAN c piedras - M","0145-1","","Musculosas","Rumba","15000.00","26250.00","1"
"Musculosa JENNY bordada - M","0166-1","","Musculosas","Arizona","18750.00","32812.50","1"
"Musculosa JENNY bordada - L","0166-2","","Musculosas","Arizona","18750.00","32812.50","0"
"Musculosa KAIA Bordada - S","0169-1","","Musculosas","Arizona","18750.00","32812.50","1"
"Musculosa KAIA Bordada - M","0169-2","","Musculosas","Arizona","18750.00","32812.50","0"
"Musculosa KAIA Bordada - L","0169-3","","Musculosas","Arizona","18750.00","32812.50","1"
"Musculosa MIRI c/ piedras - M","0167-1","","Remeras","Arizona","22500.00","39375.00","1"
"Musculosa Morley con cierre - Negro","0006-1","","Musculosas","The Maker","4000.00","7000.00","1"
"Musculosa Morley con cierre - Blanco","0006-2","","Musculosas","The Maker","4000.00","7000.00","1"
"Musculosa Morley con cierre - Crudo","0006-3","","Musculosas","The Maker","4000.00","7000.00","1"
"Musculosa Morley estampado","0008","","Musculosas","The Maker","6500.00","11375.00","0"
"Musculosa NEPAL - L","0139-1","","Musculosas","Rumba","8480.00","14840.00","1"
"Musculosa ORI Tejida con Guipiur - XL","0164-1","","Musculosas","Arizona","22490.00","39357.50","1"
"Musculosa Percy.Morley vintage cuello en U - M","0265-1","","Musculosas","OnenOn","5300.00","9275.00","2"
"Musculosa Sacamander piedras","0273","","Musculosas","Rumba","12000.00","21000.00","1"
"Musculosa SAMSUM - S","0141-1","","Musculosas","Rumba","5000.00","8750.00","1"
"Musculosa Sunny.Morley Dior jaspeado - S","0261-1","","Musculosas","OnenOn","7500.00","13125.00","1"
"Musculosa Sunny.Morley Dior jaspeado - M","0261-2","","Musculosas","OnenOn","7500.00","13125.00","2"
"Musculosa Sunny.Morley Dior jaspeado - L","0261-3","","Musculosas","OnenOn","7500.00","13125.00","0"
"Musculosa Thalia.Nina rib cuello redondo - S","0262-1","","Musculosas","OnenOn","6500.00","11375.00","1"
"Musculosa Thalia.Nina rib cuello redondo - M","0262-2","","Musculosas","OnenOn","6500.00","11375.00","5"
"Musculosa Thalia.Nina rib cuello redondo - L","0262-3","","Musculosas","OnenOn","6500.00","11375.00","0"
"Musculosa vallarda - Rojo","0232-1","","Musculosas","Samara","18800.00","32900.00","1"
"Musculosa vallarda - Verde","0232-2","","Musculosas","Samara","18800.00","32900.00","1"
"Musculosa vallarda - Marron claro","0232-3","","Musculosas","Samara","18800.00","32900.00","1"
"NUÑEZ - BERMUDA BAGGY CASCARILLA - 36","0280-1","","Bermudas","CC Jeans","16500.00","28875.00","1"
"NUÑEZ - BERMUDA BAGGY CASCARILLA - 38","0280-2","","Bermudas","CC Jeans","16500.00","28875.00","1"
"NUÑEZ - BERMUDA BAGGY CASCARILLA - 40","0280-3","","Bermudas","CC Jeans","16500.00","28875.00","1"
"NUÑEZ - BERMUDA BAGGY CASCARILLA - 42","0280-4","","Bermudas","CC Jeans","16500.00","28875.00","1"
"NUÑEZ - BERMUDA BAGGY CASCARILLA - 44","0280-5","","Bermudas","CC Jeans","16500.00","28875.00","1"
"Olivos - Baggy desflecado oxido - 38","0117-1","","Pantalones","CC Jeans","28000.00","49000.00","1"
"Palazo Fiona.Hawaii ccordón tela y bolsillo - S","0267-1","","Pantalones","OnenOn","12500.00","21875.00","2"
"Palazo Fiona.Hawaii ccordón tela y bolsillo - M","0267-2","","Pantalones","OnenOn","12500.00","21875.00","2"
"Palazo JOHNSON liso - M","0182-1","","Pantalones","LSK","22900.00","40075.00","1"
"Palazzos Fibrana Liso - S","0076-1","","Pantalones","Cabana","9000.00","15750.00","1"
"Palazzos Morley Ottamon Oscuro - M","0077-1","","Pantalones","Cabana","12500.00","21875.00","0"
"Palermo - Baggy celeste desflecado vainilla - 42","0125-1","","Pantalones","CC Jeans","26500.00","46375.00","1"
"Pantalon Baduz con vivos - M","0183-1","","Pantalones","LSK","24900.00","43575.00","1"
"Pantalon Baduz con vivos - S","0183-2","","Pantalones","LSK","24900.00","43575.00","1"
"Pantalon K-250403 - M","0240-1","","Pantalones","Mouk","28000.00","49000.00","1"
"Pantalon K-250403 - L","0240-2","","Pantalones","Mouk","28000.00","49000.00","1"
"Pantalon NEW PAUNETTE BORDADO - S","0189-1","","Pantalones","LSK","26900.00","47075.00","1"
"Pollera boho microtull - M","0210-1","","Polleras","Meferti","17000.00","29750.00","1"
"Pollera de lino - M","0070-1","","Polleras","Merci","5000.00","8750.00","2"
"Pollera de lino - L","0070-2","","Polleras","Merci","5000.00","8750.00","1"
"Pollera MARTINA - S","0179-1","","Polleras","LSK","5000.00","8750.00","1"
"Pollera MARTINA - M","0179-2","","Polleras","LSK","5000.00","8750.00","1"
"Pollera micro volados - M","0211-1","","Polleras","Meferti","14000.00","24500.00","2"
"Pollera plato micromorley - Marron","0212-1","","Polleras","Meferti","9800.00","17150.00","1"
"Puerto Madryn - Bermuda desflecada con rotura - 38","0126-1","","Pantalones","CC Jeans","9900.00","17325.00","1"
"Puperon Liso - Negro","0021-1","","Puperones","The Maker","4000.00","7000.00","1"
"Puperon Liso - Crudo","0021-2","","Puperones","The Maker","4000.00","7000.00","1"
"Puperon liso morley nuevo - Negro","0022-1","","Puperones","The Maker","6000.00","10500.00","1"
"Puperon liso morley nuevo - Gris","0022-2","","Puperones","The Maker","6000.00","10500.00","1"
"Puperon liso morley nuevo - Amarillo","0022-3","","Puperones","The Maker","6000.00","10500.00","1"
"Puperon liso morley nuevo - Crudo","0022-4","","Puperones","The Maker","6000.00","10500.00","1"
"Puperon liso morley nuevo - Chocolate","0022-5","","Puperones","The Maker","6000.00","10500.00","1"
"Puperon liso morley nuevo - Marron claro","0022-6","","Puperones","The Maker","6000.00","10500.00","1"
"Puperon Morley nevado - M","0023-1","","Puperones","The Maker","8000.00","14000.00","2"
"Puperon Morley nevado - L","0023-2","","Puperones","The Maker","8000.00","14000.00","1"
"Puperon Oakland - Lila","0018-1","","Puperones","The Maker","3500.00","6125.00","1"
"Puperon Oakland - Celeste","0018-2","","Puperones","The Maker","3500.00","6125.00","1"
"Puperon rock nevado","0015","","Puperones","The Maker","9000.00","15750.00","1"
"Puperon Sonrie","0016","","Puperones","The Maker","3500.00","6125.00","1"
"Remera (ALGODÓN) - Rosa Print - (Mujer) - M","0078-1","","Remeras","Cabana","10150.00","17762.50","1"
"Remera (ALGODÓN) Corazon 2 - XL","0108-1","","Remeras","Cabana","10150.00","17762.50","1"
"Remera (ALGODÓN) Corazon Rosa - S","0083-1","","Remeras","Cabana","10150.00","17762.50","1"
"Remera (ALGODÓN) Guess - S","0095-1","","Remeras","Cabana","10150.00","17762.50","1"
"Remera (ALGODÓN) Guess - L","0095-2","","Remeras","Cabana","10150.00","17762.50","1"
"Remera (ALGODÓN) Inspire - S","0111-1","","Remeras","Cabana","10150.00","17762.50","1"
"Remera (ALGODÓN) LISO - S","0106-1","","Remeras","Cabana","8600.00","15050.00","2"
